organization_name,coursera_name,coursera_code,star,reviews,level,result
Coursera Project Network,Product Recommender System: OpenAI Text Embedding,Product Recommender System: OpenAI Text Embedding,NaN,NaN,Intermediate level,"[' Create text embeddings using OpenAI API', 'Apply vector similarity measures for product recommendation system', 'Visualize text embedding vectors with Principal Component Analysis (PCA)']"
Coursera Project Network,AI-Powered Chest Disease Detection and Classification,AI-Powered Chest Disease Detection and Classification,4.7,19,Beginner level,"['Understand the theory and intuition behind transfer learning technique and the state-of-the-art Residual Neural Networks (ResNets).', 'Build, train, and test ResNets in Keras and Tensorflow to detect and classify chest disease from X-Ray Images.', 'Perform data visualization and assess trained classifier models performance using various KPIs. ']"
Google,The Power of Statistics,The Power of Statistics,4.8,500,Advanced level,"['Explore and summarize a dataset ', 'Use probability distributions to model data', 'Conduct a hypothesis test to identify insights about data', 'Perform statistical analyses using Python ']"
CertNexus,CertNexus Certified Ethical Emerging Technologist Professional Certificate,CertNexus Certified Ethical Emerging Technologist Professional Certificate,4.7,405,Beginner level,"['Apply ethical principles, frameworks, regulations, and standards utilized in data-driven technologies and analyze the challenges that may compromise their implementation.', 'Detect and mitigate ethical risks in the design, development, and deployment of data-driven technologies.', 'Communicate effectively with diverse stakeholders about ethical safeguards, ethical risks, and mitigation strategies.', 'Create, implement, and evaluate the organizational policies and governance structure required for ethical data-driven technologies.']"
Johns Hopkins University,The Unix Workbench,The Unix Workbench,4.7,1321,Beginner level,[]
Johns Hopkins University,Mastering Software Development in R Specialization,Mastering Software Development in R Specialization,4.2,1260,Beginner level,[]
University of Michigan,"Understanding Data: Navigating Statistics, Science, and AI Specialization","Understanding Data: Navigating Statistics, Science, and AI Specialization",4.9,5,Beginner level,"[' Assess the credibility and limitations of claims involving statistics and scientific research', ' Understand the fundamentals of machine learning and navigate conversations about AI with confidence', ' Interpret and evaluate statements about data to make informed decisions in your personal and professional life']"
University of Leeds,Exploratory Data Analysis,Exploratory Data Analysis,NaN,NaN,Intermediate level,"['Explain the different data types and apply data preparation methods to clean data.', ' Explore ways to visualise data using the software R.  ', 'Understand how visualisation of data can inform statistical model selection. ']"
SkillUp EdTech,ASQ-Certified Six Sigma Green Belt (CSSGB) Exam Prep Specialization,ASQ-Certified Six Sigma Green Belt (CSSGB) Exam Prep Specialization,NaN,NaN,Intermediate level,"['Examine the Lean Six Sigma principles and methodologies. ', 'Implement the DMAIC framework or the define, measure, analyze, improve, and control framework for process improvements. ', 'Identify, quantify, and eliminate process inefficiencies and conduct data-driven study and analysis. ', 'Apply various statistical tools and techniques to implement improvement projects.']"
Illinois Tech,Introduction to Time Series,Introduction to Time Series,NaN,NaN,Intermediate level,[]
Coursera Instructor Network,Next-Generation AI Assistant: Claude by Anthropic,Next-Generation AI Assistant: Claude by Anthropic,NaN,NaN,Beginner level,"['Create targeted marketing materials and promotional content by utilizing Claude AI.  ', 'Leverage Claude AI to effectively devise and execute successful product launch strategies.  ', 'Craft a compelling promo campaign with Claude AI that highlights specific products and services.  ']"
Coursera Instructor Network,Crafting AI Identities: Strategies & Ethical Considerations,Crafting AI Identities: Strategies & Ethical Considerations,NaN,NaN,Intermediate level,[]
University of Michigan,Arranging and Visualizing Data in R,Arranging and Visualizing Data in R,NaN,NaN,Intermediate level,"[' Become knowledgeable about and conversant in the R environment', ' Format and manipulate data within R into suitable formats  ', ' Develop an intuition for doing exploratory data analysis  ', ' Develop a workflow in R ']"
Coursera Project Network,Build a Data Science Web App with Streamlit and Python,Build a Data Science Web App with Streamlit and Python,4.6,736,Intermediate level,"['Build interactive web applications with Streamlit and Python', 'Use Pandas for data manipulation in data science workflows']"
Coursera Instructor Network,"Data Ingestion, Exploration & Visualization in Qlik Sense","Data Ingestion, Exploration & Visualization in Qlik Sense",NaN,NaN,Intermediate level,"['Data ingestion for visualization involves loading data from various sources, cleaning and transforming it, and creating multi-table data models.', 'Create interactive visuals & dashboards with a user-friendly drag-and-drop interface, diverse chart types, and filters using add-ons.', 'Tailor dashboard functionality and looks to meet audience needs with appearance adjustments, dimensions, and sorting tools.']"
Google Cloud,Serverless Data Processing with Dataflow: Foundations,Serverless Data Processing with Dataflow: Foundations,4.2,74,Intermediate level,[]
Coursera Project Network,COVID19 Data Analysis Using Python,COVID19 Data Analysis Using Python,4.5,1953,Intermediate level,"['Learn the steps, needed to be taken to prepare your data sources for an analysis', 'Learn how to look at your data to find a good measure to stablish your analysis based upon ', 'Learn to visualize the result of your analysis ']"
Johns Hopkins University,Introduction to Neurohacking In R,Introduction to Neurohacking In R,4.6,298,Intermediate level,[]
Illinois Tech,Linear Regression,Linear Regression,4.5,11,Intermediate level,"['Describe the assumptions of the linear regression models.', 'Use R to fit a linear regression model to a given data set.', 'Interpret and draw conclusions on the linear regression model.']"
Coursera Project Network,Image Classification with Amazon Sagemaker,Image Classification with Amazon Sagemaker,4.6,98,Advanced level,"['Prepare data for Sagemaker Image Classification.', 'Train a model using Sagemaker.', 'Deploy a trained model using Sagemaker.']"
SAS,Using Data for Geographic Mapping and Forecasting in SAS Visual Analytics,Using Data for Geographic Mapping and Forecasting in SAS Visual Analytics,4.8,214,Intermediate level,[]
SAS,Creating Advanced Reports with SAS Visual Analytics,Creating Advanced Reports with SAS Visual Analytics,4.7,207,Intermediate level,"['How to create advanced data items (like calculated items and aggregated measures) in SAS Visual Analytics.', 'How to create advanced static and interactive filters and advanced ranks in SAS Visual Analytics.', 'How to create and apply parameters to make reports more dynamic in SAS Visual Analytics.     ']"
Microsoft,Data Engineering with MS Azure Synapse Apache Spark Pools,Data Engineering with MS Azure Synapse Apache Spark Pools,3.7,33,Intermediate level,"['How to perform data engineering with Azure Synapse Apache Spark Pools to boost the performance of big-data analytic applications', 'How to ingest data using Apache Spark Notebooks in Azure Synapse Analytics', 'How to transform data using DataFrames in Apache Spark Pools in Azure Synapse Analytics', 'How to monitor and manage data engineering workloads with Apache Spark in Azure Synapse Analytics']"
Microsoft,Prepare for DP-203: Data Engineering on Microsoft Azure Exam,Prepare for DP-203: Data Engineering on Microsoft Azure Exam,4.4,58,Intermediate level,"['How to refresh and test your knowledge of the skills mapped to all the main topics covered in the DP-203 exam.', 'How to demonstrate proficiency in the skills measured in Exam DP-203: Data Engineering on Microsoft Azure', 'How to outline the key points covered in the Microsoft Data Engineer Associate Specialization', 'How to describe best practices for preparing for the Exam DP-203: Data Engineering on Microsoft Azure']"
IBM,IBM Data Analytics with Excel and R Professional Certificate,IBM Data Analytics with Excel and R Professional Certificate,4.7,2078,Beginner level,"['Master the most up-to-date practical skills and knowledge data analysts use in their daily roles', 'Learn how to perform data analysis, including data preparation, statistical analysis, and predictive modeling using R, R Studio, and Jupyter', 'Utilize Excel spreadsheets to perform a variety of data analysis tasks like data wrangling, using pivot tables, data mining, & creating charts', 'Communicate your data findings using various data visualization techniques including, charts, plots & interactive dashboards with Cognos and R Shiny']"
University of Illinois at Urbana-Champaign,Cluster Analysis in Data Mining,Cluster Analysis in Data Mining,4.5,403,Intermediate level,[]
University of Washington,Machine Learning: Regression,Machine Learning: Regression,4.8,5544,Intermediate level,[]
University of Michigan,Introduction to Machine Learning in Sports Analytics,Introduction to Machine Learning in Sports Analytics,4.7,18,Intermediate level,['Gain an understanding of how classification and regression techniques can be used to enable sports analytics across athletic activities and events.']
Microsoft,Data Warehousing with Microsoft Azure Synapse Analytics,Data Warehousing with Microsoft Azure Synapse Analytics,4.0,45,Intermediate level,"['How to use Azure Synapse Analytics to build Data Warehouses using modern architecture patterns', 'How to design a Modern Data Warehouse using Azure Synapse Analytics  ', 'How to manage, optimize, and secure a data warehouse  ', 'How to design a multidimensional schema to optimize analytical workloads  ']"
Coursera ,The Role of the CEO in Navigating GenAI,The Role of the CEO in Navigating GenAI,4.9,29,Beginner level,"['Why GenAI is critically important for CEOs to understand', 'How to start your AI journey', 'What AI is and what it can do', 'How to go hands on with Generative AI to enhance your performance as a CEO']"
Imperial College London,Getting started with TensorFlow 2,Getting started with TensorFlow 2,4.9,556,Intermediate level,[]
University of Illinois at Urbana-Champaign,Pattern Discovery in Data Mining,Pattern Discovery in Data Mining,4.3,316,Intermediate level,[]
Johns Hopkins University,Exploratory Data Analysis,Exploratory Data Analysis,4.7,6061,Intermediate level,"['Understand analytic graphics and the base plotting system in R', 'Use advanced graphing systems such as the Lattice system', 'Make graphical displays of very high dimensional data', 'Apply cluster analysis techniques to locate patterns in data']"
Coursera Project Network,Siamese Network with Triplet Loss in Keras,Siamese Network with Triplet Loss in Keras,4.6,110,Advanced level,"['Implement a Siamese Network.', 'Implement a Triplet Loss function.', 'Train a Siamese Network with Triplet Loss.']"
Coursera Project Network,Predictive Modelling with Azure Machine Learning Studio,Predictive Modelling with Azure Machine Learning Studio,4.5,239,Beginner level,"['Build a predictive model using Azure ML Studio', 'Demonstrate a working knowledge of setting up experiments on Azure ML Studio', ""Operationalise machine learning workflows with Azure's drag-and-drop modules""]"
"University of California, Davis",Data Visualization with Tableau Specialization,Data Visualization with Tableau Specialization,4.5,7100,Beginner level,"['Examine, navigate, and learn to use the various features of Tableau', ' Assess the quality of the data and perform exploratory analysis', 'Create and design visualizations and dashboards for your intended audience', ' Combine the data to and follow the best practices to present your story']"
Coursera Project Network,Emotion AI: Facial Key-points Detection,Emotion AI: Facial Key-points Detection,4.6,158,Intermediate level,"['Understand the theory and intuition behind Deep Neural Networks, and Residual Neural Networks, and Convolutional Neural Networks (CNNs).', 'Build and train a deep learning model based on Convolutional Neural Network and Residual blocks using Keras with Tensorflow 2.0 as a backend.', 'Assess the performance of trained CNN and ensure its generalization using various Key performance indicators.']"
University of North Texas,Predicting Credit Card Fraud with R,Predicting Credit Card Fraud with R,4.4,33,Intermediate level,"['Use R to identify fraudulent credit card transactions with a variety of classification methods. ', 'Create, train, and evaluate decision tree, naïve Bayes, and Linear discriminant analysis classification models using R', 'Generate synthetic samples to improve the performance of your models.']"
Coursera Project Network,Sentiment Analysis with Deep Learning using BERT,Sentiment Analysis with Deep Learning using BERT,4.4,392,Intermediate level,"['Preprocess and clean data for BERT Classification', 'Load in pretrained BERT with custom output layer', 'Train and evaluate finetuned BERT architecture on your own problem statement']"
Coursera Project Network,Storytelling With Data,Storytelling With Data,4.5,151,Beginner level,"[' Learn how to use Suspense and Surprise in storytelling', 'Learn how to use action headings and  highlight data to put your point across']"
Coursera Project Network,Intro to Time Series Analysis in R,Intro to Time Series Analysis in R,4.4,243,Beginner level,"['Fit various types of time series models to real world data and use them to forecast the future.', 'Understand how to assess model fit in time series data.', 'Know the reasons why time series models and methodology are an important toolkit for any data scientist.']"
Coursera Project Network,Medical Insurance Premium Prediction with Machine Learning,Medical Insurance Premium Prediction with Machine Learning,4.6,17,Beginner level,"['Understand the theory and intuition behind artificial neural networks', 'Build, train and test an artificial neural network model in Keras and Tensorflow', 'Perform data cleaning, feature engineering and visualization']"
"University of California, Davis",Computational Social Science Methods,Computational Social Science Methods,4.7,327,Beginner level,"['Examine the history and current challenges faced by Social Science through the digital revolution.', 'Configure a machine to create a database that can be used for analysis.', 'Discuss what is artificial intelligence (AI) and train a machine.', 'Discover how social networks and human dynamics create social systems and recognizable patterns.']"
Microsoft,Azure Data Lake Storage Gen2 and Data Streaming Solution,Azure Data Lake Storage Gen2 and Data Streaming Solution,4.2,31,Intermediate level,"['How to use Azure Data Lake Storage to make processing Big Data analytical solutions more efficient. ', 'How to set up a stream analytics job to stream data and manage a running job', 'How to describe the concepts of event processing and streaming data and how this applies to Azure Stream Analytics ', 'How to use Advanced Threat Protection to proactively monitor your system and describe the various ways to upload data to Data Lake Storage Gen 2']"
Coursera Project Network,Mastering Data Analysis with Pandas,Mastering Data Analysis with Pandas,4.6,148,Beginner level,"['Master data analysis and manipulation in Pandas and Python', 'Define and manipulate Pandas Series', 'Master Pandas Attributes, methods and math operations']"
Coursera Project Network,Data Visualization with Power BI: Storytelling with Data,Data Visualization with Power BI: Storytelling with Data,NaN,NaN,Intermediate level,"['Prepare and explore the data for visualization in Power BI', 'Build a report using different visuals, graphs, and data storytelling concepts that provides insights and recommendations']"
"University of California, Irvine",Data Science Fundamentals Specialization,Data Science Fundamentals Specialization,4.2,136,Beginner level,[]
University of California San Diego,Big Data Modeling and Management Systems,Big Data Modeling and Management Systems,4.4,2990,Intermediate level,[]
Coursera Project Network,SARS-CoV-2 Protein Modeling and Drug Docking,SARS-CoV-2 Protein Modeling and Drug Docking,4.7,100,Intermediate level,"['Learn homology modeling and drug docking', 'Model protein structures from sequence data', 'Perform molecular docking of drugs against protein molecules']"
Coursera Project Network,COVID19 Data Visualization Using Python,COVID19 Data Visualization Using Python,4.4,95,Intermediate level,"['Learn to use visualization to answer to some analytical questions', 'Learn how to look at your data to find a good measure to stablish your analysis based upon ', 'Learn to use Plotly module in python']"
Coursera Project Network,Getting Started with Rstudio,Getting Started with Rstudio,4.6,132,Beginner level,"['Install R and RStudio on your desktop, or use the new cloud-based solution that allows anyone to learn R, directly from your browser.', 'Know the 10 most important things that 99% of R programmers should know about the RStudio IDE Interface.', 'Be able to explain what R packages are, how to install and load them, from CRAN and Github, into the R session, and create interactive HTML widgets.']"
New York University,Reinforcement Learning in Finance,Reinforcement Learning in Finance,3.5,130,Advanced level,[]
"University of Maryland, College Park",Framework for Data Collection and Analysis,Framework for Data Collection and Analysis,4.2,735,Intermediate level,[]
Unilever,Supply Chain Software Tools,Supply Chain Software Tools,4.6,10,Beginner level,[]
University of Illinois at Urbana-Champaign,Advanced Deep Learning Methods for Healthcare,Advanced Deep Learning Methods for Healthcare,NaN,NaN,Advanced level,[]
LearnQuest,Fundamentals of Machine Learning for Supply Chain,Fundamentals of Machine Learning for Supply Chain,3.9,32,Beginner level,"['Learn to merge, clean, and manipulate data using Python libraries such as Numpy and Pandas', 'Gain familiarity with the basic and advaned Python functonalities such as importing and using modules, list compreohensions, and lambda functions. ', 'Solve a supply chain cost optimization problem using Linear Programming with Pulp']"
Microsoft,Operational Analytics with Microsoft Azure Synapse Analytics,Operational Analytics with Microsoft Azure Synapse Analytics,4.5,21,Intermediate level,"['How to perform operational analytics against Azure Cosmos DB using the Azure Synapse Link feature within Azure Synapse Analytics', 'How to query Azure Cosmos DB with SQL Serverless/Apache Spark for Azure Synapse Analytics ', 'How to configure and enable Azure Synapse Link to interact with Azure Cosmos DB', 'How to use hybrid transactional and analytical processing to perform operational analytics with Azure Synapse Analytics ']"
The University of Edinburgh,Data Science in Stratified Healthcare and Precision Medicine,Data Science in Stratified Healthcare and Precision Medicine,4.6,314,Intermediate level,[]
Johns Hopkins University,Regression Models,Regression Models,4.4,3343,Intermediate level,"['Use regression analysis, least squares and inference', 'Understand ANOVA and ANCOVA model cases', 'Investigate analysis of residuals and variability', 'Describe novel uses of regression models such as scatterplot smoothing']"
London Business School,New Ways of Working in an AI World,New Ways of Working in an AI World,NaN,NaN,Intermediate level,[]
SAS,Regression Modeling Fundamentals,Regression Modeling Fundamentals,4.7,47,Intermediate level,[]
University of Colorado Boulder,Business Analytics for Decision Making,Business Analytics for Decision Making,4.6,1791,Beginner level,"['Describe the significance of optimization in identifying optimal solutions for complex business problems', 'Implement optimization techniques to identify the best possible course of action among multiple alternatives', 'Judge the appropriateness of optimization techniques in finding optimal solutions for practical business challenges']"
Johns Hopkins University,Reproducible Research,Reproducible Research,4.6,4167,Beginner level,"['Organize data analysis to help make it more reproducible', 'Write up a reproducible data analysis using knitr', 'Determine the reproducibility of analysis project', 'Publish reproducible web documents using Markdown']"
Johns Hopkins University,Practical Machine Learning,Practical Machine Learning,4.5,3245,Beginner level,"['Use the basic components of building and applying prediction functions', 'Understand concepts such as training and tests sets, overfitting, and error rates', 'Describe machine learning methods such as regression or classification trees', 'Explain the complete process of building prediction functions']"
Johns Hopkins University,Data Visualization in R with ggplot2,Data Visualization in R with ggplot2,4.9,114,Intermediate level,[]
SkillUp EdTech,Intro to Lean Six Sigma and Project Identification Methods,Intro to Lean Six Sigma and Project Identification Methods,NaN,NaN,Beginner level,"['Identify the problem or opportunity to be addressed and then define specific and measurable goals for the project.', 'Develop a project charter, including its objectives, scope, and required resources.', 'Identify the needs and expectations of the customers directly affected by the problem or process under consideration.', 'Create a high-level process map to visualize the process flow and identify areas for improvement.']"
University of Michigan,Data Augmented Technology Assisted Medical Decision Making,Data Augmented Technology Assisted Medical Decision Making,NaN,NaN,Beginner level,"['Describe the crucial role, strengths, limitations of AI and ML in evidence-based medical decision making', '', '', '', 'Evaluate machine learning studies for bias and systematic error to enhance diagnostic decisions.', '', '', 'Apply the results of machine learning studies and outputs to diagnostic decisions. ', '', '', 'Identify legal and ethical issues and best practices for AI and ML use in healthcare settings', '']"
Northeastern University ,Data Visualization with Python & R for Engineers,Data Visualization with Python & R for Engineers,NaN,NaN,Beginner level,[]
Google,Foundations of Data Science,Foundations of Data Science,4.7,1880,Advanced level,"['Understand common careers and industries that use advanced data analytics', 'Investigate the impact data analysis can have on decision-making', 'Explain how data professionals preserve data privacy and ethics ', 'Develop a project plan considering roles and responsibilities of team members']"
University of London,Foundations of Data Science: K-Means Clustering in Python,Foundations of Data Science: K-Means Clustering in Python,4.6,654,Beginner level,"['Define and explain the key concepts of data clustering    ', 'Demonstrate understanding of the key constructs and features of the Python language.    ', 'Implement in Python the principle steps of the K-means algorithm.    ', 'Design and execute a whole data clustering workflow and interpret the outputs.    ']"
Rice University,Business Statistics and Analysis Capstone,Business Statistics and Analysis Capstone,4.7,422,Beginner level,[]
Imperial College London,Probabilistic Deep Learning with TensorFlow 2,Probabilistic Deep Learning with TensorFlow 2,4.7,99,Advanced level,[]
Johns Hopkins University,Linear Algebra: Orthogonality and Diagonalization,Linear Algebra: Orthogonality and Diagonalization,4.9,14,Intermediate level,[]
Microsoft,Preparing for AI-900: Microsoft Azure AI Fundamentals exam,Preparing for AI-900: Microsoft Azure AI Fundamentals exam,4.7,79,Beginner level,"['How to refresh and test your knowledge of the skills mapped to all the main topics covered in the AI-900 exam', 'How to demonstrate proficiency in the skills measured in Exam AI-900: Microsoft Azure AI Fundamentals', 'How to outline the key points covered in the Microsoft Azure AI Fundamentals Specialization ', 'How to describe best practices for preparing for the Exam AI-900: Microsoft Azure AI Fundamentals']"
University of Colorado Boulder,Introduction to R Programming and Tidyverse,Introduction to R Programming and Tidyverse,4.2,34,Beginner level,"['By successfully completing this course, you will be able to write functions in R.', 'You will be able to analyze and visualize a data set.', 'You will be able to use RMarkdown to share documents in reports with the global R community.']"
University of Washington,Machine Learning: Clustering & Retrieval,Machine Learning: Clustering & Retrieval,4.7,2345,Beginner level,[]
SAS,"Performing Network, Path, and Text Analyses in SAS Visual Analytics","Performing Network, Path, and Text Analyses in SAS Visual Analytics",4.7,190,Intermediate level,"[' To describe the data structure needed for network analysis, path analysis, and text analytics.', 'How to create network analysis to analyze relationship between entities in SAS Visual Analytics.  ', 'How to create path analysis to understand frequent paths in SAS Visual Analytics.    ', 'How to create text analytics to analyze unstructured text in SAS Visual Analytics.    ']"
ESSEC Business School,Case studies in business analytics with ACCENTURE,Case studies in business analytics with ACCENTURE,3.7,205,Intermediate level,[]
University of Washington,Machine Learning: Classification,Machine Learning: Classification,4.7,,Intermediate level,[]
Coursera Project Network,Introduction to Node-red,Introduction to Node-red,4.8,38,Beginner level,"['Learn to work with Node-Red Environment', 'Learn to  work with core nodes', 'Learn to work with APIs in node red']"
IBM,Statistics for Data Science with Python,Statistics for Data Science with Python,4.5,372,Beginner level,"['Write Python code to conduct various statistical tests including a T test, an ANOVA, and regression analysis. ', 'Interpret the results of your statistical analysis after conducting hypothesis testing. ', 'Calculate descriptive statistics and visualization by writing Python code. ', ""Create a final project that demonstrates your understanding of various statistical test using Python and evaluate your peer's projects. ""]"
Coursera Project Network,"Classification Trees in Python, From Start To Finish","Classification Trees in Python, From Start To Finish",4.6,229,Intermediate level,"['Create Classification Trees in Python', 'Apply Cost Complexity Pruning in Python', 'Apply Cross Validation in Python', 'Create Confusion Matrices in Python']"
Coursera Project Network,Perplexity.AI for Beginners: AI-Powered Search,Perplexity.AI for Beginners: AI-Powered Search,NaN,NaN,Beginner level,"['Navigate and Utilize AI Tools Efficiently', 'Enhance Research with Advanced AI Features', 'Organize and Summarize Research Findings']"
Coursera Project Network,Interactive Machine Learning Dashboards using Plotly Dash,Interactive Machine Learning Dashboards using Plotly Dash,4.4,29,Intermediate level,"['Prepare dashboard design', 'Create beautiful plots', 'Integrate plots to create interactive components']"
Coursera Project Network,Explaining machine learning models,Explaining machine learning models,NaN,NaN,Intermediate level,['Machine Learning Explainability vis SHAP']
Coursera Project Network,Data Balancing with Gen AI: Credit Card Fraud Detection,Data Balancing with Gen AI: Credit Card Fraud Detection,NaN,NaN,Intermediate level,"[' Clean and preprocess data for GANs  ', ' Employ GANs (Generative Adversarial Networks) for data generation   ', ' Apply PCA (Principal Component Analysis) for Data Exploration  ']"
Coursera Project Network,Deep Learning for Real Estate Price Prediction,Deep Learning for Real Estate Price Prediction,4.4,18,Beginner level,"['Understand the theory and intuition behind Deep Learning ', 'Train Artificial Neural Networks to perform real estate price prediction ', 'Perform Data Visualization, Data Cleaning, Feature Engineering and Exploratory Data Analysis']"
Coursera Project Network,Software Development with ChatGPT: Generating Code with AI,Software Development with ChatGPT: Generating Code with AI,NaN,NaN,Intermediate level,"['Generate, integrate AI-assisted code in a Python project', 'Debug, refine your application with AI.', 'Write comprehensive documentation using ChatGPT.  ']"
Coursera Project Network,Multiple Linear Regression with scikit-learn,Multiple Linear Regression with scikit-learn,4.5,355,Beginner level,"['Build univariate and multivariate linear regression models in Python using scikit-learn', 'Perform Exploratory Data Analysis (EDA) and data visualization with seaborn', 'Evaluate model fit and accuracy using numerical measures such as R² and RMSE', 'Model interaction effects in regression using basic feature engineering techniques']"
Coursera Project Network,SQL Window Functions for Analytics,SQL Window Functions for Analytics,4.7,29,Advanced level,"['Understand how SQL window functions work and how to use them', 'Manipulate data in tables using SQL SELECT statements together with window functions', 'Use different SQL windows to get database insights']"
Coursera Project Network,Citation Analysis for Bibliometric Study,Citation Analysis for Bibliometric Study,4.3,32,Beginner level,"['Search and extract relevant research articles efficiently from a journal database', 'Learn about citations and references for a bibliometric literature review', 'Use the visualization tool Gephi to conduct a citation network analysis']"
University of Colorado System,Clinical Data Science Specialization,Clinical Data Science Specialization,4.4,333,Intermediate level,[]
University of Michigan,Wearable Technologies and Sports Analytics,Wearable Technologies and Sports Analytics,4.5,34,Intermediate level,['Understand how wearable devices can be used to help characterize both training and performance.']
Coursera Project Network,Principal Component Analysis with NumPy,Principal Component Analysis with NumPy,4.6,293,Intermediate level,"['Implement Principal Component Analysis (PCA) from scratch with NumPy and Python', 'Conduct basic exploratory data analysis (EDA)', 'Create simple data visualizations with Seaborn and Matplotlib']"
Coursera Project Network,Bank Loan Approval Prediction With Artificial Neural Nets,Bank Loan Approval Prediction With Artificial Neural Nets,4.6,28,Beginner level,"['Understand the theory and intuition behind Deep Neural Networks', 'Build and train a deep learning model using Keras with Tensorflow 2.0 as a backend.', 'Assess the performance of trained model and ensure its generalization using various Key performance indicators.']"
CertNexus,Solve Business Problems with AI and Machine Learning,Solve Business Problems with AI and Machine Learning,4.2,46,Intermediate level,"['Identify appropriate applications of AI and machine learning within a given business situation.', 'Formulate a machine learning approach to solve specific business problems.', 'Select appropriate tools to solve given machine learning problems.', 'Protect data privacy and promote ethical practices when developing and deploying AI and machine learning projects.']"
Coursera Project Network,Getting Started in Google Analytics,Getting Started in Google Analytics,4.4,1403,Beginner level,"['Set up a Google Analytics account and add your website.', 'Understand how Google Analytics organizes data.  ', 'Interpret the Audience, Acquisition and Behavior reports.']"
Johns Hopkins University,Developing Data Products,Developing Data Products,4.6,2253,Beginner level,"['Develop basic applications and interactive graphics using GoogleVis', 'Use Leaflet to create interactive annotated maps', 'Build an R Markdown presentation that includes a data visualization', 'Create a data product that tells a story to a mass audience']"
Johns Hopkins University,Wrangling Data in the Tidyverse,Wrangling Data in the Tidyverse,4.5,31,Beginner level,"['Apply Tidyverse functions to transform non-tidy data to tidy data', 'Conduct basic exploratory data analysis', 'Conduct analyses of text data']"
Coursera Project Network,GenAI Summarization with Langchain: Summarize Text Documents,GenAI Summarization with Langchain: Summarize Text Documents,NaN,NaN,Intermediate level,"['Learn the implementation of Langchain and how it interfaces with language models for text summarization.', 'Utilize GPT models and prompt template within the Langchain framework for extracting key information from large documents.', 'Gain proficiency in designing user-friendly interfaces by using Streamlit, integrating Langchain-based summarization capabilities for practical use.']"
IBM,Gen AI Foundational Models for NLP & Language Understanding,Gen AI Foundational Models for NLP & Language Understanding,NaN,NaN,Intermediate level,"['Explain how to use one-hot encoding, bag-of-words, embedding, and embedding bags to convert words to features.', 'Build and use word2vec models for contextual embedding.', 'Build and train a simple language model with a neural network.', 'Utilize N-gram and sequence-to-sequence models for document classification, text analysis, and sequence transformation.']"
MathWorks,Introduction to Deep Learning for Computer Vision,Introduction to Deep Learning for Computer Vision,NaN,NaN,Beginner level,"['Develop a strong foundation in deep learning for image analysis', 'Retrain common models like GoogLeNet and ResNet for specific applications', 'Investigate model behavior to identify errors, determine potential fixes, and improve model performance ', 'Complete a real-world project to practice the entire deep learning workflow']"
IBM,IBM Machine Learning Professional Certificate,IBM Machine Learning Professional Certificate,4.6,1615,Intermediate level,"['Master the most up-to-date practical skills and knowledge machine learning experts use in their daily roles', 'Learn how to compare and contrast different machine learning algorithms by creating recommender systems in Python ', 'Develop working knowledge of KNN, PCA, and non-negative matrix collaborative filtering', 'Predict course ratings by training a neural network and constructing regression and classification models']"
Columbia University,Causal Inference 2,Causal Inference 2,3.4,14,Advanced level,[]
Johns Hopkins University,Artificial Intelligence for Breast Cancer Detection,Artificial Intelligence for Breast Cancer Detection,4.6,61,Intermediate level,['Breast Imaging; AI Processing Paradigm; Performance Assessment Metrics']
Board Infinity ,Security for Artificial Intelligence Software and Services,Security for Artificial Intelligence Software and Services,NaN,NaN,Intermediate level,"['Understand key concepts and challenges in AI security. ', 'Develop skills in secure coding and vulnerability assessment for AI systems.', ' Learn to implement and manage secure AI APIs and endpoints.']"
Coursera Project Network,"Reverse and complement nucleic acid sequences (DNA, RNA) using R","Reverse and complement nucleic acid sequences (DNA, RNA) using R",4.4,52,Beginner level,[]
Coursera Project Network,"Reverse and complement nucleic acid sequences (DNA, RNA) using Python","Reverse and complement nucleic acid sequences (DNA, RNA) using Python",4.5,35,Beginner level,[]
Coursera Project Network,Diabetic Retinopathy Detection with Artificial Intelligence,Diabetic Retinopathy Detection with Artificial Intelligence,4.4,46,Intermediate level,"['Understand the theory and intuition behind Deep Neural Networks, Residual Nets, and Convolutional Neural Networks (CNNs)', 'Build a deep learning model based on Convolutional Neural Network and Residual blocks using Keras with Tensorflow 2.0 as a backend', 'Assess the performance of trained CNN and ensure its generalization using various Key performance indicators.']"
University of Michigan,Moneyball and Beyond,Moneyball and Beyond,4.6,48,Intermediate level,"['Program data using Python to test the claims that lie behind the Moneyball story.', 'Use statistics to conduct your own team and  player analyses.']"
Microsoft,Natural Language Processing in Microsoft Azure,Natural Language Processing in Microsoft Azure,4.7,79,Beginner level,"['How to describe features of Natural Language Processing (NLP) workloads on Azure ', 'How to identify features of common NLP Workload Scenarios', 'How to identify Azure tools and services for NLP workloads']"
Johns Hopkins University,Publishing Visualizations in R with Shiny and flexdashboard,Publishing Visualizations in R with Shiny and flexdashboard,4.9,63,Beginner level,[]
MathWorks,Machine Learning for Computer Vision,Machine Learning for Computer Vision,4.9,14,Beginner level,"['Prepare data and create features for classifying images', 'Train & evaluate models to classify images using ', 'Train & evaluate object detection machine learning models', 'Customize model training for different applications using cost matrices']"
